YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2017,ITC,ITC Ltd,42768,15470,27298,,1759,49,1153,16026,,10477,8.47,,,
01-03-2018,ITC,ITC Ltd,43449,16521,26928,,2240,115,1236,17409,,11493,9.24,,,
01-03-2019,ITC,ITC Ltd,48340,18537,29802,,2080,71,1397,19150,,12836,10.27,,,
01-03-2020,ITC,ITC Ltd,49388,19344,30044,,2417,81,1645,20035,,15593,12.45,,,
01-03-2021,ITC,ITC Ltd,49257,17065,32193,,2577,58,1646,17938,,13383,10.69,,,
01-03-2022,ITC,ITC Ltd,60645,20623,40021,,1910,60,1732,20740,,15503,12.37,,,
01-03-2023,ITC,ITC Ltd,70919,25704,45215,,2098,78,1809,25915,,19477,15.44,,,
01-03-2024,ITC,ITC Ltd,67932,25188,42744,,3330,39,1518,26961,,20751,16.39,,,
01-03-2025,ITC,ITC Ltd,75323,25839,49484,,17795,45,1646,41943,,35052,27.77,,,
01-03-2026,ITC,ITC Ltd,79809,26913,52896,,17203,67,1700,42350,,35356,27.98,,,
01-03-2014,JISLJALEQS,Jain Irrigations,5821,770,5051,,-184,468,205,-86,,-40,-0.9,,,
01-03-2015,JISLJALEQS,Jain Irrigations,6117,779,5338,,-35,469,244,31,,55,1.25,,,
01-03-2016,JISLJALEQS,Jain Irrigations,6281,820,5460,,34,491,297,67,,49,1.06,,,
01-03-2017,JISLJALEQS,Jain Irrigations,6715,945,5770,,59,459,301,243,,176,3.68,,,
01-03-2018,JISLJALEQS,Jain Irrigations,7800,954,6846,,163,479,339,299,,221,4.42,,,
01-03-2019,JISLJALEQS,Jain Irrigations,8536,926,7610,,275,514,313,374,,254,4.82,,,
01-03-2020,JISLJALEQS,Jain Irrigations,5891,-51,5942,,75,692,347,-1014,,-719,-14.41,,,
01-03-2021,JISLJALEQS,Jain Irrigations,5631,348,5283,,116,746,351,-633,,-403,-7.97,,,
01-03-2022,JISLJALEQS,Jain Irrigations,7078,706,6372,,611,558,337,422,,329,5.48,,,
